Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
205407;ADM;PASS;1;7;7;7;15;8;15;12;12;10;9;;160;M;17;LYCEE VO-KOUTIME
205408;ADM;PASS;0;8;9;7;16;6;13;11;13;12;;17;165;M;16;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205409;AJ;;0;7;8;2;13;7;12;4;10;11;10;;120;M;17;CPL LA GRACE 
205410;ADM;PASS;1;9;10;6;16;5;13;10;11;13;;15;160;M;16;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205411;AJ;;0;3;9;5;12;5;13;9;14;12;;7;139;M;21;CPL LA GRACE 
205412;AJ;;0;6;11;4;10;12;10;11;9;11;;14;145;F;18;CEG ADOUHO
205413;ADM;PASS;3;9;11;8;15;10;8;10;12;13;;12;165;M;17;LYCEE VO-KOUTIME
205414;AJ;;0;7;8;8;12;7;13;7;10;15;7;;142;F;18;CEG VOGAN VILLE I
205415;AJ;;0;5;8;4;8;6;7;4;8;13;;11;99;F;20;LYCEE VO-KOUTIME
205416;AJ;;0;7;7;8;12;4;13;8;10;15;;11;137;F;19;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205417;AJ;;0;8;7;6;10;10;18;9;9;13;;11;150;M;15;LYCEE VO-KOUTIME
205418;ADM;PASS;2;4;10;9;13;9;12;11;12;12;;9;160;F;14;CEG VOGAN VILLE I
205419;ADM;PASS;0;7;10;7;16;7;15;8;16;12;;11;168;M;17;CPL LE GUIDE
205420;ADM;PASS;0;6;9;10;15;5;17;11;15;11;;11;172;F;18;CEG VOGAN VILLE I
205421;AJ;;0;5;10;5;14;4;11;7;16;13;10;;142;M;16;LYCEE VO-KOUTIME
205422;ADM;ABIEN;0;9;12;12;17;7;19;16;15;11;13;;209;M;14;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205423;AJ;;0;5;7;5;13;7;9;5;16;15;;12;136;M;18;CEG VOGAN VILLE I
205424;AJ;;0;7;9;6;11;7;9;9;11;13;;13;137;M;21;CEG VOGAN VILLE I
205425;AJ;;0;2;11;4;13;6;12;9;11;15;;17;144;F;19;LYCEE VO-KOUTIME
205426;ADM;PASS;1;2;9;8;15;8;13;11;12;14;11;;160;M;20;CEG ADOUHO
205427;ADM;ABIEN;0;7;11;8;16;9;18;13;14;13;;17;193;M;16;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205428;AJ;;0;7;10;5;12;6;15;9;9;12;;16;146;F;17;CS LE CADRE DES ELITES
205429;AJ;;0;0;0;0;0;0;0;0;0;0;;0;0;M;17;CPL LA GRACE 
205430;ADM;TBIEN;20;18;14;10;17;17;17;18;17;11;;17;264;M;16;CEG ADOUHO
205431;ADM;ABIEN;7;12;13;13;16;10;12;18;14;12;;15;218;M;14;CEG VOGAN VILLE I
205432;AJ;;0;5;10;2;9;7;12;5;9;10;;10;113;F;21;LYCEE VO-KOUTIME
205433;AJ;;0;5;7;4;13;7;16;9;10;12;;17;144;M;16;LYCEE VO-KOUTIME
205434;AJ;;0;6;7;4;10;4;8;6;6;15;;15;106;F;24;LYCEE VO-KOUTIME
205435;AJ;;0;4;9;3;6;3;7;4;6;11;;15;86;M;14;CEG VOGAN VILLE I
205436;AJ;;0;6;12;6;12;4;12;7;11;14;;17;143;M;17;CEG VOGAN VILLE I
205437;ADM;ABIEN;6;14;10;9;15;16;14;13;14;11;;17;208;M;15;CEG KPOTA-KOUTIME
205438;ADM;PASS;0;10;10;10;16;5;13;13;12;Inap.;13;7;171;M;16;CEG VOGAN VILLE I
205439;ADM;PASS;1;5;9;9;14;7;11;11;12;15;;13;160;F;18;CEG VOGAN VILLE I
205440;ADM;ABIEN;3;8;10;12;14;8;17;16;16;14;16;;206;M;15;CS LA REUSSITE
205441;ADM;PASS;1;6;13;4;14;9;17;13;16;13;;16;187;M;19;LYCEE VO-KOUTIME
205442;ADM;PASS;1;4;9;7;12;7;12;13;13;14;;16;160;M;23;LYCEE VO-KOUTIME
205443;AJ;;0;5;10;6;8;6;11;7;9;15;9;;124;F;16;CS LA REUSSITE
205444;AJ;;0;4;10;7;12;11;8;7;9;12;11;;135;F;17;CEG ADOUHO
205445;ADM;PASS;1;10;11;8;11;7;12;11;12;10;;18;160;F;14;CEG VOGAN VILLE I
205446;ADM;PASS;0;5;7;11;14;8;13;12;11;13;8;;160;M;20;CEG VOGAN VILLE I
205447;AJ;;0;6;8;5;13;4;12;10;14;14;5;;142;F;20;CEG VOGAN VILLE I
205448;AJ;;0;1;8;5;8;8;11;6;11;13;;11;119;F;20;LYCEE VO-KOUTIME
205449;AJ;;0;3;9;5;14;8;17;10;7;14;;9;147;M;16;LYCEE VO-KOUTIME
205450;ADM;PASS;1;7;11;5;16;14;15;12;12;11;;12;181;M;19;LYCEE VO-KOUTIME
205451;AJ;;1;7;11;4;14;10;10;5;10;12;;9;138;M;22;LYCEE VO-KOUTIME
205452;AJ;;0;4;7;4;10;8;10;7;6;15;;10;113;M;20;LYCEE VO-KOUTIME
205453;ADM;PASS;1;5;8;10;12;6;14;14;11;14;;10;160;M;18;LYCEE VO-KOUTIME
205454;ADM;PASS;0;10;11;11;15;8;15;13;12;15;14;;189;M;19;CEG VOGAN VILLE I
205455;AJ;;0;7;11;6;7;3;10;8;11;14;;10;123;M;18;CEG VOGAN VILLE I
205456;AJ;;6;11;10;4;7;15;10;8;8;11;11;;143;M;17;CEG ADOUHO
205457;ADM;PASS;11;11;11;8;13;16;12;5;14;10;;12;182;F;15;CPL LE GUIDE
205458;AJ;;0;4;8;3;7;5;11;5;9;Inap.;11;8;101;F;16;CEG VOGAN VILLE I
205459;ADM;PASS;0;11;8;11;14;7;15;14;7;12;;11;166;M;17;LYCEE VO-KOUTIME
205460;ADM;PASS;1;4;9;8;14;11;11;8;15;13;6;;160;M;18;CEG VOGAN VILLE I
205461;ADM;PASS;0;8;12;7;14;8;14;8;16;13;12;;171;M;16;CEG VOGAN VILLE I
205462;AJ;;0;8;10;2;14;5;12;2;9;13;;10;119;M;20;CEG VOGAN VILLE I
205463;AJ;;0;2;9;5;12;6;10;6;13;12;;9;126;F;23;CS LE CADRE DES ELITES
205464;AJ;;0;5;10;5;12;9;15;8;7;14;;14;145;F;16;CS LE CADRE DES ELITES
205465;ADM;PASS;3;8;9;4;13;12;12;8;14;14;;16;164;F;17;CEG ADOUHO
205466;ADM;PASS;1;6;13;6;17;5;12;9;13;13;;8;160;M;22;CS LE CADRE DES ELITES
205467;AJ;;0;7;9;4;13;6;6;5;10;15;;15;123;F;16;CEG VOGAN VILLE I
205468;AJ;;0;5;11;3;16;5;15;5;12;14;;15;148;F;17;CEG VOGAN VILLE I
205469;ADM;PASS;0;4;9;7;14;9;18;8;15;14;;11;169;M;20;CS LA REUSSITE
205470;AJ;;0;1;8;8;12;9;14;11;11;12;;12;151;M;19;LYCEE VO-KOUTIME
205471;ADM;PASS;1;6;8;8;9;13;12;11;12;12;;15;160;M;18;LYCEE VO-KOUTIME
205472;AJ;;0;7;9;6;9;6;11;7;10;11;3;;124;F;17;CEG VOGAN VILLE I
205473;ADM;PASS;10;6;10;5;10;10;13;10;11;12;;17;161;M;18;LYCEE VO-KOUTIME
205474;AJ;;0;7;9;2;12;9;12;6;13;12;;9;135;M;20;LYCEE VO-KOUTIME
