Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
405992;ADM;PASS;0;6;13;3;17;6;15;8;19;14;13;;175;M;23;CEG KPANDIYO
405993;ADM;PASS;9;11;16;6;11;9;9;6;11;15;;5;161;F;16;CEG KPANDIYO
405994;AJ;;0;9;14;4;15;7;11;3;15;0;12;9;149;F;15;CEG KPANDIYO
405995;ADM;ABIEN;2;10;13;7;19;10;14;9;15;14;;14;194;M;16;CEG KPANDIYO
405996;ADM;PASS;3;9;14;3;17;7;19;9;17;15;;12;191;M;15;CEG KPANDIYO
405997;ADM;PASS;5;10;16;7;14;8;12;10;16;11;15;;187;F;13;CPL LE PARISIEN
405998;ADM;BIEN;8;13;17;15;18;9;17;16;18;13;17;;249;M;16;CPL LE PARISIEN
405999;AJ;;0;8;14;5;11;5;9;5;14;12;;11;137;F;16;CEG KPANDIYO
406000;ADM;PASS;0;9;14;3;15;8;12;6;16;12;15;;164;F;16;CPL LE PARISIEN
406001;ADM;ABIEN;9;15;11;10;18;10;16;8;17;10;;8;204;M;17;CEG KPANDIYO
406002;ADM;TBIEN;14;17;15;17;20;10;19;18;20;0;13;11;273;M;15;CEG KPANDIYO
406003;AJ;;0;12;12;3;13;6;9;2;17;10;16;;141;F;18;CEG KPANDIYO
406004;ADM;PASS;7;12;13;4;12;9;10;7;13;14;;15;164;M;18;CEG KPANDIYO
406005;AJ;;0;7;12;3;17;6;13;3;17;11;;6;150;F;15;CEG KPANDIYO
406006;ADM;ABIEN;0;15;12;11;20;10;15;12;19;11;;15;219;F;16;CEG KPANDIYO
406007;ADM;ABIEN;7;11;11;6;19;8;17;8;18;15;;16;202;M;16;CEG KPANDIYO
406008;ADM;PASS;0;10;13;7;15;8;11;9;14;14;;15;173;M;16;CEG KPANDIYO
406009;AJ;;0;5;13;3;16;7;12;2;13;10;;11;138;M;17;CEG KPANDIYO
406010;ADM;ABIEN;0;16;14;8;19;9;16;12;15;12;;16;209;M;17;CEG KPANDIYO
406011;ADM;PASS;0;1;13;8;17;10;16;8;13;13;;13;177;F;18;CEG KPANDIYO
406012;ADM;ABIEN;0;12;12;5;17;10;16;13;16;11;;11;192;M;18;CEG KPANDIYO
406013;ADM;PASS;0;4;12;8;16;4;10;11;14;14;15;;163;M;14;CPL LE PARISIEN
406014;ADM;ABIEN;2;11;12;10;20;9;18;10;16;11;;17;209;M;18;CEG KPANDIYO
406015;ADM;ABIEN;10;15;11;7;19;11;17;14;14;14;;12;217;M;16;CEG KPANDIYO
406016;ADM;PASS;1;6;12;6;18;8;17;9;12;11;16;;177;M;18;CEG KPANDIYO
406017;ADM;ABIEN;6;10;11;10;17;7;14;13;15;0;15;17;200;F;23;CEG KPANDIYO
406018;ADM;ABIEN;4;13;14;11;18;5;17;10;14;12;;12;199;M;17;CEG KPANDIYO
406019;AJ;;0;3;13;6;10;7;11;5;10;15;;6;132;F;20;CEG KPANDIYO
406020;ADM;PASS;1;6;12;6;15;6;13;10;13;14;;5;161;F;23;CEG KPANDIYO
406021;AJ;;0;7;12;7;12;7;10;5;13;10;14;;143;F;18;CPL LE PARISIEN
406022;ADM;PASS;1;7;11;7;15;6;15;4;18;13;;15;168;F;16;CEG KPANDIYO
406023;ADM;PASS;0;10;12;5;18;9;15;9;14;10;;13;177;M;15;CEG KPANDIYO
406024;ADM;PASS;1;10;11;9;15;7;11;9;10;10;;15;160;M;15;CEG KPANDIYO
406025;AJ;;0;5;11;6;13;3;9;6;10;11;;12;124;M;21;CEG KPANDIYO
406026;AJ;;0;6;11;4;14;2;11;6;11;14;;12;130;M;16;CEG KPANDIYO
