Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
609835;AJ;;0;11;9;4;13;13;11;8;9;12;12;;149;M;21;CEG NAGBENI
609836;ADM;PASS;0;7;8;6;15;14;16;9;12;10;10;;167;M;17;CEG KPEBONGA
609837;ADM;PASS;0;9;10;6;16;12;15;8;11;13;14;;172;F;16;CEG NAGBENI
609838;ADM;PASS;6;12;9;2;16;12;13;9;14;11;14;;173;M;15;CEG NAGBENI
609839;AJ;;0;5;9;7;13;11;9;9;8;10;9;;137;M;21;CEG KPEBONGA
609840;AJ;;0;2;9;5;11;12;12;8;8;11;3;;133;F;17;CEG KPEBONGA
609841;ADM;PASS;9;9;10;7;12;12;12;9;10;11;10;;163;M;15;CEG KPEBONGA
609842;ADM;ABIEN;10;14;12;11;18;15;15;11;14;12;13;;221;M;16;CEG NAGBENI
609843;AJ;;0;9;11;6;15;8;11;6;13;10;10;;149;F;17;CEG NAGBENI
609844;ADM;PASS;0;7;10;7;19;14;12;10;14;10;10;;179;M;15;CEG NAGBENI
609845;AJ;;0;7;9;3;15;10;12;4;9;10;6;;131;F;16;CEG NAGBENI
609846;AJ;;0;7;8;2;16;9;13;3;9;10;4;;127;M;17;CEG NAGBENI
609847;ADM;ABIEN;6;13;15;7;19;15;19;11;14;10;14;;223;M;15;CEG NAGBENI
609848;ADM;PASS;0;7;11;2;18;13;14;6;13;12;12;;165;M;15;CEG NAGBENI
609849;ADM;BIEN;17;17;16;9;19;13;18;13;17;10;16;;249;M;15;CEG NAGBENI
609850;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;15;CEG KPEBONGA
609851;AJ;;0;7;8;3;13;12;10;5;12;14;4;;137;F;19;CEG NAGBENI
609852;ADM;PASS;0;11;9;5;13;14;14;8;15;12;7;;169;M;20;CEG NAGBENI
609853;ADM;PASS;1;6;10;4;16;13;16;6;10;11;13;;161;M;17;CEG KPEBONGA
609854;ADM;PASS;11;11;8;5;12;10;13;8;14;10;8;;162;M;15;CEG KANKANGOU
609855;AJ;;0;0;0;0;0;0;0;0;0;12;0;;2;M;20;CEG KANKANGOU
609856;AJ;;4;7;11;4;14;9;10;5;11;11;12;;142;M;16;CEG KANKANGOU
609857;ADM;ABIEN;18;14;9;10;16;12;12;10;11;11;15;;198;M;13;CEG KANKANGOU
609858;ADM;PASS;7;10;10;3;16;14;14;7;10;10;11;;166;M;15;CEG NAGBENI
609859;ADM;ABIEN;4;9;12;7;19;14;17;16;12;10;16;;212;M;16;CEG KPEBONGA
609860;AJ;;4;9;11;3;15;11;13;5;9;10;13;;150;F;16;CEG NAGBENI
609861;ADM;PASS;9;11;9;9;14;12;11;5;9;11;11;;160;M;18;CEG KANKANGOU
609862;ADM;PASS;8;9;14;6;14;12;15;7;10;10;14;;177;M;18;CEG NAGBENI
609863;ADM;PASS;9;10;9;3;16;11;14;7;12;11;11;;165;M;21;CEG KPEBONGA
609864;AJ;;5;6;9;4;15;11;11;4;11;10;15;;146;M;20;CEG NAGBENI
609865;AJ;;0;3;8;3;13;10;12;7;13;10;13;;138;M;22;CEG NAGBENI
609866;ADM;PASS;0;6;8;7;17;11;14;9;11;12;18;;167;M;22;CEG NAGBENI
609867;AJ;;7;12;0;0;0;0;14;0;13;10;0;;73;M;20;CEG KPEBONGA
609868;ADM;PASS;11;14;9;5;16;11;10;4;11;10;14;;161;M;16;CEG KANKANGOU
609869;ADM;PASS;6;6;9;6;15;12;13;8;9;10;14;;160;M;16;CEG KPEBONGA
609870;ADM;PASS;7;5;9;7;12;13;14;9;10;12;8;;162;F;18;CEG NAGBENI
609871;ADM;PASS;4;7;11;6;18;13;11;8;14;0;16;;178;M;16;CEG NAGBENI
